"GSM2462948","GSM2462949","GSM2462950","GSM2462951","GSM2462952","GSM2462953","GSM2462954","GSM2462955","GSM2462956","GSM2462957","GSM2462958","GSM2462959","GSM2462960","GSM2462961","GSM2462962","GSM2462963","GSM2462964","GSM2462965","GSM2462966","GSM2462967"
"1415746_at",81.9084,97.33,96.5475,66.9118,113.145,93.5404,112.2,104.562,122.59,162.615,140.536,171.545,120.116,127.278,162.029,126.136,73.3596,95.9435,118.45,109.62
"1415747_s_at",1638.95,1809.18,1545.88,1230,2037.08,1617.73,1877.7,1469.43,2048.88,2195.87,2054.4,1891.98,2239.8,2008.85,1960.36,1410.65,1545.24,1340.71,1601.6,1810.99
"1415748_a_at",115.883,184.409,184.172,140.334,211.68,210.161,244.983,258.925,333.713,312.158,282.301,358.625,291.692,253.086,281.594,183.205,179.998,220.037,274.012,236.551
"1415749_a_at",612.92,667.428,561.002,526.643,797.402,689.02,1007.3,678.531,990.66,949.028,978.602,914.755,881.498,830.778,968.737,643.83,670.594,670.236,702.327,1025.62
"1415750_at",51.8734,62.2524,73.7699,48.8938,98.7455,53.6982,89.1259,61.5623,86.9115,71.7678,114.822,103.905,122.328,64.6728,88.065,57.3829,60.0974,67.0951,56.5524,71.7625
"1415751_at",883.133,890.092,747.589,715.017,1360.39,963.408,1066.15,802.318,1060.3,1233.33,1338.32,1036.58,1343.41,1020.74,1203.13,967.919,907.125,834.087,961.273,1043.32
"1415752_at",796.702,928.757,776.06,697.679,962.429,1027.12,942.99,903.341,1205.53,1222.07,1025.68,1031.63,1162.84,1033.54,1177.36,883.403,865.767,830.98,950.503,1051.67
"1415753_at",364.449,634.713,492.432,449.513,670.318,522.078,717.513,535.585,734.637,682.701,597.205,670.788,705.407,601.354,672.189,497.416,528.532,501.904,581.554,539.081
"1415754_at",464.426,606.954,452.215,353.667,651.229,505.195,625.932,672.777,707.853,735.793,706.784,718.7,759.552,785.056,805.779,661.719,556.501,594.377,681.921,650.25
"1415755_a_at",192.852,327.413,269.123,236.647,357.923,308.155,355.662,262.216,341.85,390.448,388.54,342.953,332.153,339.068,377.107,316.69,298.388,306.74,313.281,293.258
"1415756_a_at",125.43,198.064,138.956,129.929,175.358,245.238,217.341,197.671,260.758,273.094,249.704,265.87,238.068,215.144,274.669,188.711,189.757,189.146,248.079,210.484
"1415757_at",128.049,154.56,158.096,113.65,184.554,141.983,151.397,132.4,169.062,174.096,195.214,152.053,139.267,181.588,200.578,143.146,157.157,137.45,163.692,145.554
"1415758_at",161.117,176.674,206.175,147.058,231.937,162.071,240.556,167.563,217.577,252.125,295.787,210.96,283.084,239.509,230.696,216.02,185.17,198.915,227.275,258.748
"1415759_a_at",350.414,532.251,416.574,374.162,554.04,582.588,683.1,519.979,722.481,756.706,662.335,704.082,640.875,681.678,784.577,518.234,509.082,507.988,472.038,544.989
"1415760_s_at",2220.34,2799.31,2273.79,1983.47,3176.45,2269.57,2717.61,2248.93,2988.64,2817.07,2774.77,2677.56,2737.9,2652.44,3249.89,2306.92,2385.07,2101.88,2565.84,2862.24
"1415761_at",424.773,681.423,449.291,392.01,656.927,443.8,654.908,533.902,761.912,762.039,610.799,649.184,728.715,682.822,725.028,508.375,496.567,492.272,631.418,558.051
"1415762_x_at",422.893,544.983,441.593,401.63,637.618,444.875,602.58,460.487,576.579,611.333,575.323,625.13,597.9,548.301,554.723,457.287,414.913,446.104,578.031,584.174
"1415763_a_at",591.866,639.805,614.793,460.603,788.417,545.372,548.607,538.662,712.003,650.057,649.288,611.518,672.158,620.534,641.133,569.198,610.587,501.551,650.003,653.308
"1415764_at",1512.03,1493.16,1073.81,980.045,1904.58,1482.08,1659.85,1524.05,1871.78,2007.76,1738.82,1552.48,1917.76,1611.41,1986.96,1389.11,1249.5,1118.12,1237.55,1720.72
